userName,score,at,content
frengki afs,5,2025-08-22 03:53:44,wow
irwan fiman,5,2025-08-22 01:53:55,mntap gaessss
elsya fk,2,2025-08-21 22:43:54,tolong tambahkan bahasa Indonesia
Ari Praenseti Firman,1,2025-08-21 21:53:36,Bintang satu karena tak ada opsi bahasa Indonesia
SH,4,2025-08-21 17:58:29,"tolong min banyak bug pas mau masuk server orang, untuk yg lainnya sudah bagus semua"
VEL NOO (3 PEOPLE HAPPY),1,2025-08-21 17:30:21,"apaan ini ajig mau login gk bisa, udah ganti nama ama pass juga tetep gk bisa gk jelas bngt apk nyaa"
Edo Alikkya3,1,2025-08-21 13:59:37,banyak banget masalah nih apk
Dan Ni,1,2025-08-21 13:50:15,terlalu banyak bag
Ithacup,1,2025-08-21 13:13:56,apalah discord jelas² gw bukan robot malah dispam are you human😡
M Abi Hermawan,1,2025-08-21 11:10:03,ga bisa buat akun
Wahyu Wahyudi,5,2025-08-21 10:26:34,bisa Indonesia 😎😎 YouTube
[熊Adnan],5,2025-08-21 09:58:57,good
Saprinuw New,1,2025-08-21 07:47:39,gw udah coba untuk login tapi masih tidak bisa 😠😠😠😠😠😠😠😠
Dedek Al,1,2025-08-21 05:04:56,jelek
Akun 1,5,2025-08-21 04:54:40,sangat rekomendasi untuk mabar game dan membuat komunitas
Dwi,5,2025-08-21 04:40:37,anjai Mabar Roblox
Mohamad Tatang Titarna,5,2025-08-21 03:32:36,bagus
Indri Tambani,5,2025-08-21 00:21:32,sangat bagus aplikasi ini
Adnan Khiar,2,2025-08-21 00:11:20,pas udah pilih umur lodingnya lama ada mungkin 5 jam
Aidil Fitri,5,2025-08-20 20:59:08,ok
Muhammad Irfan official,1,2025-08-20 16:06:31,the most rotten app
EMS Studio,4,2025-08-20 15:52:43,"Hanya ada satu kekurangan dari discord ini, yaitu setiap saya share screen dan open cam secara bersamaan, dan saya keluar dari discord malah cam saya yang ngelag, tolong diperbaiki segera!!"
auliansyah ragil,1,2025-08-20 14:52:08,"aku kan uda buat akun ni terus pas mau login malah salah sandi padahal aku gak pernah ganti sandi, terus mau buat akun baru malah ngestuck dia ditanggal lahir, ini gimana caranya tolong la semua chanel ku ilanh semua jadinya"
Andi Andrian,1,2025-08-20 14:45:13,gabisa bikin akun pas selesai bikin akun malah di bilang kurang data terus padahal udah bikin berkali-kali padshal
Wisnu Firdaus,5,2025-08-20 14:11:07,"terima kasih, saya bisa login kembali"
Rizal Spra-X,1,2025-08-20 13:51:34,pacar gua mau login di persulit
Julio Rumondor,1,2025-08-20 13:20:46,banyak bug video
Salman Alfarisi,5,2025-08-20 11:39:39,thank developer sudah berhasil login lagi
Ayessha,2,2025-08-20 11:26:11,"dulu aku pernah download tapi engga apa², terus kan pernah aku hapus terus aku download lagi malah keluar terus dari apknya"
Ahmad Aziz Fajarun10,3,2025-08-20 09:17:56,aplikasi nya sering bug bahkan tdk bs share screen pdhl orang lain bisa semoga developer memperbaikinya
Kartika Sari,4,2025-08-20 09:09:52,padahal aku udah join discord windah Basudara tapi gak bisa mohon bantuannya
cheezebugger,3,2025-08-20 08:48:19,you guys be updating literally anything but mb file size
Aditya Johan,5,2025-08-20 07:54:23,😁
Muhammad Deni,5,2025-08-20 04:25:21,mantap
Danar Samudra,3,2025-08-20 00:02:51,tambahkan bahasa indonesia
Azrumi Ibrahim setiabudi,5,2025-08-19 23:47:09,kek tai
Ridho Arifin,5,2025-08-19 18:58:03,tolong di tambahkan bahasa indonesia.
Wiliam Stefan,5,2025-08-19 13:59:43,bagus
Karly rajivandeston,1,2025-08-19 13:50:38,apk tolol
Aida Rizqy K.,1,2025-08-19 13:44:22,"gak tau bug apa gimana tapi pesan sering gagal dikirim padahal sinyal buat buka youtube aman, join voice chat juga aman"
zakvyzz 09,2,2025-08-19 12:30:10,"tolong bug verifikasi nya di benerin, saya buat akun baru tapi pas verifikasi sudah saya kerjakan dengan benar dan sesuai intruksi, namun ketika verifikasi, malah disuruh verifikasi lagi, sangat meresahkan karena saya harus berkomunikasi lewat discord, tolong di perbaiki secepatnya pliissss"
Gilang Alfarezky,5,2025-08-19 12:23:31,buat ngobrol cihuyyy :)
Achmad Nawawi,1,2025-08-19 12:22:55,"Trash, just entering the phone number is a hassle. It's been 4 months now. Every day, my brain fiddles with the phone number and reports it to the website, but no one pays any attention."
SlyKazz,5,2025-08-19 11:50:14,"jadi gini wir, gw di discord di bilang ketikan mirip aynoukoji, trs jadi banyak yang suka gw secara digital, pas gw cari tahu lagi ternyata bener🤭😏"
Galaxy A50,5,2025-08-19 11:47:08,sangat seru saya sam pai bisa mabar sama pak GM
Hanung Mega,2,2025-08-19 10:25:02,ini gimana sih kok aku di spam puzzle terus 😡😡😡 bikin emosi
Sultana Shafeea,5,2025-08-19 10:00:34,"its js good, no other words lol. exceot for the pdfs"
satria Permadi putra,1,2025-08-19 08:58:27,app gak berguna
Dila Dila,5,2025-08-19 08:27:07,"ini apk bagus bangett sih menurut gw.. 🤭, karena bisa join discord orang orang, dan bisa mengetahui bnyk Hall 😛"
ABD RAHMAN,2,2025-08-19 08:24:55,Kok ngak bisa log in yha vervikasi apakah anda robot atau bukan itu lama banget sampe tidur gue nungguin lama banget
Ka Mil,1,2025-08-19 07:03:14,entah kenapa nggak bisa dipakai
Seth,1,2025-08-19 02:57:58,"mau follow channel aja susah bet mesti nunggu lama ga muncul² opsi nya, aplikasi yatim"
Генри Буйтензорг,1,2025-08-19 00:19:59,I don't recommend the Discord app if you have a good phone and this app is very CPU intensive due to the intense chat
Muhammad Allif,5,2025-08-18 23:39:05,PLEASE GIVE INDONESIAN LANGUAGE SETTINGS AND GIVE THE LITE VERSION OF THE APP 🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻
Aan Nur,1,2025-08-18 17:24:13,bug terus aja yg di banyakin
Nimas Ayu,1,2025-08-18 16:30:07,"ini knp yh, gw tinggalin beberapa Minggu doang kok akun gw ke logout sendiri, aku coba login lagi gabisa padahal sandinya bener persis jaringan stabil username juga baner dll, yaudah akhirnya gw bikin akun baru udah la tu pake email yang beda, disuruh konfirmasi kalo kamu bukan robot, aku pencet lah, pertama oke berhasil ni terus tiba-tiba eh kok ngulang lagi, aku coba lagi mungkin tadi ga kebaca/ngelag, aku coba terus gajadi coba terus gajadi berkali kali aku coba ga ada yang jadi🙄"
Rona Sopiyana,1,2025-08-18 16:18:52,aplikasi sampah ! mau masuk ke server gagal terus !!!
21 amboi,1,2025-08-18 15:19:00,gua mau tournamen malahh bug hadeh
Aditya Rizky,1,2025-08-18 15:10:43,jelek. ribet buat register
Nirah Sahwan,1,2025-08-18 14:32:15,ribet bet sampe gua bikin 2 akun buat verify
Fikri Fadilah,1,2025-08-18 13:44:32,"aplikasi sampah banyak banget bug, susah login dll"
Fitra Ramadhan,1,2025-08-18 13:21:42,aplikasi apaan ini masa gw mau daftar kaga bisa
Isyfa Haha,4,2025-08-18 13:15:23,bagus aja sih
Akak Niswa,1,2025-08-18 12:37:51,ngesutck di loding
Saya nama saya Asep,1,2025-08-18 12:24:20,"gj udah login di suruh ngulang"" mulu"
Berani Gagah,5,2025-08-18 11:16:44,akhirnya sudah fiks sekian lama wah gini makin bagus dan jadi yg terbaik buat saya kalian wajib coba guys
Jabal Akbar,5,2025-08-18 09:23:32,awesome
Atikah Luthfiyah,5,2025-08-18 05:58:40,"seru, dan asik"
Suyati Tembong,4,2025-08-18 04:53:48,saya cukup senang.
Muhammad Hatta,5,2025-08-18 04:39:31,gw bisa masuk server sus
Haura Zahra,2,2025-08-18 04:35:01,"di suruh verifikasi email, tapi pas di verifikasi ga bisa aneh banget.. udah coba berbagai cara tetap ga bisa"
Aditya Prayoga,5,2025-08-18 04:27:42,dapat lebih banyak teman
THR,5,2025-08-18 03:22:26,aplikasi ini sangat bagus untuk bermain game
Utsman Dani,5,2025-08-18 03:21:16,Good apk
Aaa Aaa,1,2025-08-18 03:07:23,bug DC hilang
LAMHAN YAHYA V,5,2025-08-18 01:57:16,bagusan
Sumanto Sumantosaja,5,2025-08-18 01:54:09,w download ini buat ambil script doang sih tapi ni aplikasi hebat buat ngobrol SANTUY 🗿🤟
Kuromboy,1,2025-08-18 01:40:58,woe discord gw lu apain woe😭
Edi Susanto,5,2025-08-17 19:00:08,mantap
Zaky Rido,1,2025-08-17 15:56:59,saya stuck di allow contact for friends 😭 saya sudah keluar dan hapus riwayat aplikasi dan saat saya buka lagi muncul hal itu lagi 🥺
ELVANO MS,1,2025-08-17 15:03:12,akun saya gak bisa masuk gara gara no diakun sebelum nya belum dipindah gimana ini😭😭😭 aku mau register dari kemarin gak jadi jadi ayolah discord buat 1 no HP bisa jadi beberapa akun plis 😭😭😢
Dheas marrio Ilham prasetyo,5,2025-08-17 14:23:33,berikan aku lebih banyak trial nitro
Cello,1,2025-08-17 13:26:01,aku dah bener malah disuruh lokout aneh
Xynn,2,2025-08-17 12:51:36,tidak bisa membuat akun nge stuck saat memverifikasi bukan robot •_• aku bukan robot woy
Maulana Ikbar,5,2025-08-17 12:17:15,manatap
Aaaa Sidnar,3,2025-08-17 12:11:29,lumayan tapi aku gak tau caranya masuk dan saat aku mau log in malah gagal 👎☹👎 dan pas terakhir terakhir tempat tinggal lahir kah atau apa lah itu malah tergeser jadi gua ngestak disitu jadi habis gua kirim langsung kuhapus
Suryati Moeis,1,2025-08-17 11:27:27,BANYAK BANGET BUGNYAAA UDAH CONFIRM HUMAN TETEP DI TANYA ANJ-
Alip Saripudin,5,2025-08-17 08:49:51,oks
Status Saya,1,2025-08-17 08:08:01,game nyusahin login
Usaan78 Usan87,1,2025-08-17 07:16:55,bg gua udh login beberapa kali masih tetep gk bisa password dah bener itu ini dah bener masih gk bisa pas loading malah kayak minecraft di tes robot atau bukan gimana sih bg adain bahasa indo kek apa kek login aja susah tolong diperbaiki atau kasih saran😡😡😡😡😡😡🤬🤬🤬
Ramadhan Syafaatullah,5,2025-08-17 07:00:28,nice
Dede Suharyadi,1,2025-08-17 05:17:06,"heh discord gw udah verifikasi email , gw udah verifikasi tetep harus verifikasi apa hah?"
javier Ammar khairullah (Jepi),5,2025-08-17 03:24:07,cocok buat cari temen
Wahyu Syahputra,1,2025-08-17 02:50:38,belum di coba belum tau maka nya ku kasi bintang 1
Kontol Hencet,4,2025-08-17 01:53:33,mantap
Diana Sombolayuk,1,2025-08-17 01:26:27,password gak ada di SMS saya malah tunggu waktu gak muncul sms
Arif Supriyanto,1,2025-08-17 00:21:36,aplikasi harus mendukung semua bahasa.
Leoo Incubi!!,1,2025-08-16 22:58:51,"HAPUS VERIFIKASI MEMAKAI NOMOR TELEPON!!! AKU YANG GA PUNYA NOMOR HP RIBET SENDIRII, padahal aku milih discord karena nggak pake nomor hp sama sekali jadinya aku nyaman, LAH SEKARANG??? APA INI?? HAPUS HAPUS!!"
Andro Saputra,1,2025-08-16 22:58:16,aplikasi jelek masa aku udah masukan nomerku malah error tolong diperbaiki lagi🤬
Agustinus Dino,5,2025-08-16 17:07:36,sagat baik
Yasmin Azzahra,5,2025-08-16 16:27:21,karena ada server ESS
Joan The Kid,3,2025-08-16 15:07:27,"berkali-kali temanku nge-dm tapi aku gak dapat notif, alhasil balas chat mereka bisa berjam-jam bahkan berhari-hari lamanya."
siti malihah,2,2025-08-16 15:06:20,"pls aplikasinya tambahin b indonesia, gue gak ngerti bjerrrr"
Akio 0ng,4,2025-08-16 14:31:37,"terdapat bug volume, suara nya kecil seperti suara rakyat"
RissXml.,1,2025-08-16 14:18:52,"gajelas, gaa kedengeran suaranya banyak bug"
Haikal Haikal,1,2025-08-16 14:09:02,gak bagus udh masukin akun malah di suruh reset gmail
Muochammad Hendrik Rianto,1,2025-08-16 13:59:56,tolol yg bener gk bisa verifikasi nomer udh bnr di tolak kodenya
Tuum,5,2025-08-16 11:32:43,Can the old username badge feature be updated with a one-time change feature? It says my ex's name.😭
JAMAL BSK,1,2025-08-16 08:21:06,tolong developer perbaikin lagi aplikasi nya ini saya gak bisa masuk untuk verifikasi email loading nya lama banget sampe 2jam gak masuk² ke dalam tampilan menu nya 😭
Derby Adha,1,2025-08-16 08:03:04,aku sudah masuk di discord nya kok gak bisa ya gys aneh aku sudah login ke xbox malahan aku punya xbox guys tolong diperbaiki
Faizal Robert,1,2025-08-16 07:28:30,Dongo Gak ada notif sms
Abid Wirawan,4,2025-08-16 07:16:56,susah daftar
Ribbiyyan Al-islamy,1,2025-08-16 05:30:18,"ngga bisa register,h,aptcha nya eror tolong lah fitur cek (you'ur not robot),eror tolong diperbaiki..."
Antonius Andre,5,2025-08-16 04:29:42,okeh
Fauzan.yahya123 Pradipta,5,2025-08-16 01:45:49,aplikasi nya bagus bisa berbicara juga
BOLU “BOLUMENNN” coy,5,2025-08-16 01:12:15,saya suka aplikasi ini
Indah indahryani,5,2025-08-16 00:59:28,saya bisa berkumpul dengan teman teman tanpa menelpon karena menghabis habiskan kuota/wifi
mighael migkael,5,2025-08-16 00:59:22,good
Erdianto Bapage,5,2025-08-15 20:27:49,This app helped me dive into the world of HoK through the official HoK community
Kenzi GG GAMING,5,2025-08-15 20:20:27,mantap
Ryana Eliza,4,2025-08-15 18:53:57,I cannot get the code from message.
Tasripin Tasripin,1,2025-08-15 17:46:17,"wkwkwk masa susah amat mau login pw bener,Imel bener masih aja salah sama ERORR"
M Effan Choirunanda,5,2025-08-15 16:58:14,"when I want to type, the keyboard closes itself, this only happens when using discord"
Daffy Ea,1,2025-08-15 16:11:57,limit chat muluu
Ayman Arsyad,3,2025-08-15 15:26:41,min gw kan lupa sandi pasword nah pas gw mau ganti kok nge stuck di confirm pasword tolong di jawab soalnya ini penting 🥲
Hj Mardiana,1,2025-08-15 15:03:17,bad
FahriAhmad FahriAhmad,5,2025-08-15 14:46:40,terima Kasih
RIZKI GANTENG Alfarizki,1,2025-08-15 13:58:20,"gua gak bisa masuk, sama gak jelas karyawannya gak mau bantu, disuruh ulang suaranya malah di matiin telepon"
Nevan,5,2025-08-15 12:55:27,👍🙏
bayu satir,1,2025-08-15 11:36:59,discordnya susah untuk loading atau buat akun tunggu sms gak ada Tinggu sampai seminggu gak ada pastikan bot kadang salah Mulu padahal posisi nya sudah benar terus padahal jaringan lancar di saat mau masuk lama bet .
Rahmad Setiawan,5,2025-08-15 10:48:26,oke
Putri Afika,5,2025-08-15 10:33:53,seruuu bgt lohhh kyahhh🤭🤭
Azka Raihan,3,2025-08-15 09:41:35,bagus sih tapi saat verifikasi lama kali
Zidane,5,2025-08-15 08:11:02,seru
Fahira Syafiqah,5,2025-08-15 02:18:19,keren
Khoirul Fahmi,1,2025-08-14 17:51:11,poor service
wahyu robi,5,2025-08-14 17:45:52,bagus
Jaysen Ginting,1,2025-08-14 16:15:53,lama banget buat login ntl
I M,4,2025-08-14 16:09:25,"okeh,saya sudah bisa registrasi menggunakan versi desktop nya,tapi kenapa harus sampai ribet seperti itu jikalau ada aplikasinya? tapi saya tetap ucapkan terimakasih atas bantuannya"
Wawan Wirawan,1,2025-08-14 15:37:16,ngak bisa registrasi
Muhammad Husein,1,2025-08-14 15:14:23,gak bisa login
Auzeza Palenka,1,2025-08-14 14:10:51,"gak tau kenapa aku mau login ke akun ku tapi gak bisa, loading nya tu lama banget aku udah nunggu hampir 30 menit cuma buat login tapi tetep gak bisa"
Rehanz,1,2025-08-14 13:33:41,login aja susah bet
Ajan Kyu young,5,2025-08-14 13:18:48,ok om
Burih Bolong,1,2025-08-14 13:14:50,masuk lama
Holidi Anjay,5,2025-08-14 12:45:58,mntap
Dzikri Naqsyabandi,1,2025-08-14 11:43:46,ga bisa masuk bug terus
Fauzan Rizkillah,5,2025-08-14 11:42:26,Mantap
Syahril Maulana,1,2025-08-14 11:11:43,gak bisa login
gusti matul,5,2025-08-14 10:51:17,"bagus untuk yang gamau instal w,a"
Firdaus Ali,5,2025-08-14 08:41:10,"bagus bgst,sekali"
SM URF,5,2025-08-14 07:50:32,exactly right
Kelik Ajipangestu,5,2025-08-14 07:36:31,aplikasinya loading lama padahal jaringan aman tapi tetep gk bisa tolong di bacaa dan di tindak lanjuti
Kadek Suka Satia Budi,1,2025-08-14 07:28:36,"apasih ngeselin parah mau login pake nomor telp ga dapet"" kode nya ini gimana sih pdhl jaringan lancar bgt, kalau aplikasinya gamau dipakai jangan disediain utk di download udah banyak juga ada keluhan serupa ternyata di ulasan tapi gak ada perbaikan juga smpe skrng gimana cara loginnyaaa"
Bagus Licth,5,2025-08-14 07:27:20,"sempet susah login maupun bikin akun baru , tapi udah di fix"
Hafiz Ahmad Fahrudin,5,2025-08-14 07:26:29,sangat sigma
Is Rizky,5,2025-08-14 07:09:43,"aplikasi yang dapat kita akses dengan gratis,di aplikasi ini kita dapat saling berkomunikasi walau lokasi antar user jauh tetapi masih bisa saling berkomunikasi 👌"
Ryan hidayat,1,2025-08-14 07:08:34,"aplikasi cacat, mau login aja dipersulit"
Harryanto MGR,3,2025-08-14 06:57:25,ngeleg sekali
Christy,1,2025-08-14 06:46:33,"apk banyak bug ga pernah bagus dari dulu kek ga pernah stabil you have to change the apk name to ""bugcord"""
Gimana Caranya,1,2025-08-14 06:18:01,"aplikasi kasi kontoI, gw dah login banyak kali, password dan email udah sesuai, tapi gak bisa login ajg, lagian kalo naruh link pakai discord segala, dah tau login susah tapi kalo gak bisa login nanti gak dapat link. kontoIIIIIIIIIIIIIIIII"
Mas Jeni,5,2025-08-14 06:07:51,pendaftaran nya lama banget.apa aplikasi sedang ada masalah? sampai sekarang saya masih belum bisa melakukan pendaftaran akun karna registrasi yang lambat loading... tolong di perbaiki secepatnya.terimakasih🙏🏻 respon cepat dalam perbaikan terimakasih saya sangat tertolong🙏🏻🫂
Buhari Sitepu,5,2025-08-14 05:38:02,kerenn
Isnaini Sovia Nasihin,2,2025-08-14 05:37:18,"saya setiap ingin bikin account atau login account pasti masuknya itu lama banget, padahal sinyal baik baik aja dan tidak ada kendala jaringan jelek atau pun lag"
sai panaa,5,2025-08-14 05:29:24,"kenpa ini gabisa login/ register ? klo register tulisannya unable to register, giliran log in tulisannya email/password salahh tolong dongg perbaikiii"
desti imup,1,2025-08-14 03:35:33,"apk rusak, uda berkali kali coba login, abis verifikasi bukannya masuk akun malah muter muter doang, mikir kids🤪🤙"
Ayaa Yoichi,1,2025-08-14 03:21:13,aku ga bisa login discord udah ditunggu in lama banget ga masuk²
Alif Rizky Fabian (Rizuki),1,2025-08-14 02:57:06,ga bisa login maupun register. APLIKASI INI PAYAH BANGET. K E C E W A
Riyan Wisnu_,2,2025-08-14 02:31:39,ga bisa loginnn
Mutiyani Bumulo,5,2025-08-14 02:21:13,"uda brpa kali login, hapus unduh trus, tetap aja gk bisa login malah ditanya are u human sampe 20x lebih sampe muak aku, bahkan sampe skarang gk bisa login mau buat akun baru juga sama aja tetap gk bisa tolong di perbaiki dong min (edit) terimakasih yaa min"
Alif,5,2025-08-14 02:01:13,"untuk developer tolong, saya sudah berapa kali stuck di login dan saya tidak tau caranya tolong diperbaiki ya developer"
Nanda Syahputri,1,2025-08-14 01:57:15,kenapa mau login lama banget loding ya? jaringan stabil aplikasi juga udh di perbaruhi. ada masalah seger atau aplikasi udh rusak?
Adrian Dermawansyah,1,2025-08-14 01:28:10,"sudah coba buat akun di browser, ter register namun tidak bisa login sama sekali setelah verifikasi (apakah anda manusia), di bawah ada tulisan berwarna merah mengatakan ""ultra rare eror"""
Vincent Vuc,1,2025-08-13 23:54:10,ga bisa regist lama nunggunya ga ke daftar daftar gimana si?
Sandra Aziz,1,2025-08-13 23:13:37,"tolong perbaiki karena saya mau buat akun malah lama login nya padahal baterai dan 100 dan wifi saya kuat tapi login akun nya lama, tolong perbaiki ya🙂‍↕️"
Shifa Ifadatul,2,2025-08-13 22:40:44,sama aja tetap loading nya lama dan link nya tidak bisa di pencet tolong developer di perbaikik
Aryo Susanto,1,2025-08-13 21:10:25,"aplikasi kocak kocakkk, hapus aja jir gabisa masuk gua"
PUDI GAMING,1,2025-08-13 21:06:17,najis banget mau login aja susah
Tesss,3,2025-08-13 20:55:17,"masalah saya ada di voice yang di mana jika kita membuka discrord biasa ada orang voice seperti teman kita lagi membuat voice itu biasa nya muncul di bagian messenge tepatnya di bawah tulisan add friends nah sekarang di saya tidak ada saya gatau itu bug atau apalah semacam nya, tolong bantu saya untuk memunculkan kembali voice yg biasanya ada terimakasih 🙏🏿"
ana melisa,5,2025-08-13 20:32:03,hayyy
Muhammad Azi Mastari,1,2025-08-13 20:31:34,saya tidak bisa menginstal aplikasi discord
Kang- Dae,1,2025-08-13 19:36:49,"tolong ya, apk ini diperbaiki masak login sama registrasi loading doang"
Erick Skawan,5,2025-08-13 18:56:48,"apa sih discord mau login aja lama bener, tidak bisa masuk, tidak jelas"
inama,1,2025-08-13 17:54:01,stuct di chaptcha setelah itu ga bisa di buka👎
Ridho Taufik,1,2025-08-13 17:49:44,"bug are you robot, loading nya nggak siap siap udah di restart berkali-kali masih sama. situasi sekarang masih stuck di login screen"
Shirokaiiyz,1,2025-08-13 17:13:28,tolong server saat masuk di suruh verifikasi kan itu ganggu apalagi tunggu ya itu lama banget sumpah!!
Nico Ay,2,2025-08-13 16:48:51,stuck gabisa login
Aran Kun,1,2025-08-13 16:43:44,pas registrasi no hp nya lama banget
Sultanhzain,1,2025-08-13 16:39:06,"Muter terus tidak bisa masuk apalagi login, registrasi sama masuk ngga bisa"
Irfan Ap,1,2025-08-13 16:29:27,kenapa saya loadingnya lama bener ketika mau daftar
Haan Dx,1,2025-08-13 15:58:00,men ep ep aja bang
Tegar Satria Indrawan,1,2025-08-13 15:53:14,gue mau login nunggu lama amat sih 3jaman
Adi Seputra,1,2025-08-13 15:47:42,GK bisa log in GK bisa register
Riko 1306,1,2025-08-13 15:44:14,susah login
De Revan,5,2025-08-13 15:32:21,"terimakasih developer beuhhh mantap, makasih udah di bantu😁 terbaik dah intinya mah"
Athena,1,2025-08-13 15:25:35,"Di update malah gk bisa bikin akun baru, malah ngestuck di register"
Yunita Angelique,1,2025-08-13 15:00:38,"login gabisa, register ga bisa pdhl signal lancar, tp loadingnya ga selesai"""
Ditz Roleplay,1,2025-08-13 14:53:28,tidak bisa login stuck di loading mulu
AXSEL DEALOVA,1,2025-08-13 14:50:19,nunggu loading dc itu sama aja kaya nunggu ayam jantan bertelur
Arshavin Venty,1,2025-08-13 14:24:43,"di perbaiki lah, masa udah login loading ny lama bgt udh restart,hapus trs download lgi, tpi ttp sm aj 😮‍💨🙄, ayo lah di perbaiki meresahkn bgtt ni bugg"
Alvin Jebe,1,2025-08-13 14:22:09,pas mau buat akun baru semua udah lengkap tapi pas mau buat akunnya pas lagi verifikasi pas mau buat akun login nya lama banget dan kayaknya gk bisa di loginin
katherina caeslar,1,2025-08-13 14:15:16,"gabisa regis, padahal jaringan bagus"
Kang Ghosting,1,2025-08-13 14:15:12,"loading regist nya gak beres beres,"
Oxs`Gaming,1,2025-08-13 14:00:12,"boleh kasih bintang nol gak sih pelayanan sampah banget,mau login aja ga bisa"" hadehh"
gilang Rama,1,2025-08-13 13:49:44,"saya tidak bisa login padahal sinyal hp saya bagus bagus aja, sudah saya cek di test speed hasilnya 90 an mbps."
Alling Zinc,1,2025-08-13 13:29:04,"Lambat verifikasi, bisa setahun gua nunggu, apk gak berkembang."
Timothy Ronald,1,2025-08-13 13:26:32,ga bisa login padahal verify udah benar
Araji Kartadiredja,1,2025-08-13 13:11:05,"tidak bisa login kembali, baru d install lagi stlh lama ga pakai gabisa login lg. hny stuck di halaman depan sampai konfirmasi bukan robot."
Afdal Fajar,5,2025-08-13 13:10:49,mantap
Agus Handoko,5,2025-08-13 12:59:20,bagus
Bima Putra Prasetya,1,2025-08-13 12:43:56,ANNOYING LOGIN CAPTCHA!!!
Adhari Agung,1,2025-08-13 12:42:27,"bagaimana ini saya mau login akun saya malah GK bisa teru menerus loading, sudah coba hapus download lagi masih sama"
M. Kezya Monica,1,2025-08-13 12:38:54,gajelas aplikasinya login aj nunggu loading doang smpe 1 jam ga masuk' aplikasi gblk
Dimas Bakdo,1,2025-08-13 12:36:01,"stuck gak bisa login, stuck di verifikasi robot terus"
"MUH,RAVLI",5,2025-08-13 12:28:06,sangat cocok bagi Saya
Rahaniah Tiniasari,1,2025-08-13 12:25:47,"ga jelas ga bisa login, loading nya lama banget gaje"
M. Saepul Bahri,1,2025-08-13 12:13:51,aneh loginnya lama sinyal bagus padahal
Bumi Evans02,1,2025-08-13 11:57:32,"CAPE DAH SETIAP KALI LOG IN PAKE AKUN AKU YANG DULU VERIFIKASI NYA LAMA KAYAK NUNGGU POLISI IMIGRASI PIKIRAN JADI KAYAK ""AAAAHH UDALAH NANTI AJA"" TAPI PIKIRAN LAGI KALAU ""TAPI MUNGKIN INI UDAH DIKIT LAGI SELESAI AH TUNGGU AJA LAH"" BEGITU!!! JADINYA OTAK PUSING PLEASE KASIH CARA BIAR VERIFIKASI JADI CEPET 😞😞"
Piki Aja,1,2025-08-13 11:56:07,"ga bisa login, cuma muter doang padahal jaringaj lancar"
WSG DRAGON THUNDER,1,2025-08-13 11:34:33,pada saat mau membuat akun baru entah kenapa tidak bisa dibuat dan loading yang saat lama
Ridlan Maulana,5,2025-08-13 11:13:50,"tolong di perbaiki lagi apk nya,karna saya tidak bisa login dengan akun lama saya,dan tidak bisa registrasi,padahal jaringan saya sangat baguss👍"
Riot Jahat,1,2025-08-13 11:13:27,"apalah, hobi kali nyuruh orang reset pw, kenapa si emg nya dengan pw gw, pw biasa biasa aja pun, harus di reset tiap beberapa minggu, channel yg udh gua join pun banyak yang ilang, pas masuk ke link invite nya lagi malah gk bisa, masalahnya kalau pen keluarin dari channel tertentu itu di channel yang jarang dipake aja lah, ni ndak, di keluarin di channel yang gw masih aktif, gw juga gk ada ngapa ngapain yang melanggar peraturan di channel itu"
Alfiansyah Ramadhan,2,2025-08-13 11:10:29,"gajelas, login/regis ga bisa². udh mati ulang perangkat sampe instal ulang tetap aja ga bisa, loading mlu aja terus ampe kiamat. jaringan bagus dan kesalahan kata juga ga ada, dasar discird discird."
NYET,2,2025-08-13 11:03:25,gak bisa login
Muhammad Naufal,1,2025-08-13 11:01:26,"apalah discord gw mau login lelet banget, padahal sinyal lancar, gimana ini woii mau login"
Gogeng Chan,1,2025-08-13 10:56:00,gw login lama banget loding nyaa 1 jam lebih itu pun belum selesai
Jun jun,5,2025-08-13 10:45:41,"Why is it so difficult to log in even though the network is smooth and stable, even though yesterday, about 3 months ago, it was smooth, what's going on, why is it like this now?"
Zex,1,2025-08-13 10:35:04,busukkkkkkk
Rycko Reahan Markus Ga,1,2025-08-13 10:22:55,baru juga download kembali gak bisa login Ama register mohon lah bg smp gw ni mau maen rp
ayu pradini,1,2025-08-13 10:02:08,"pls discord nih kenapa sih... mau ganti pw aja gabisa.. load lama banget.. padahal sinyal bagus"" aja 🙂"
Cerasaurus,5,2025-08-13 09:55:53,good job
vano 123oo,1,2025-08-13 09:38:15,discord pea mau nge chat verifikasi mulu discord aplikasi konyol
Arief Habiburrohman,1,2025-08-13 09:34:34,apk gj gw mau login aja susah ngeditek robot ny lama ajg
Andre Al rasyid,1,2025-08-13 08:54:11,"when it comes out ""wait! are you human?"" it takes a very long time to work. please fix it!"
Rahasia Aja,1,2025-08-13 08:47:57,gak bisa registrasi
Mujib Rahim,1,2025-08-13 08:45:40,pas regist stuck anj
bima bfi,1,2025-08-13 08:21:59,susah amat loginy bangke
Sendy Patria Cahyadi,1,2025-08-13 08:10:42,proses login lama betul udah 10 menit nunggu ga masuk
Khoir Nisa,3,2025-08-13 07:46:48,"ngestuck di bagian ""are you human?"" loadingnya lama banget, padahal sinyalnya bagus."
