score,at,content_stemmed
1,2026-01-29 19:42:18,wait are you human melulu ulang ulang melulu gambar nyaa kecewa banget asli
5,2026-01-29 14:22:07,bagus
1,2026-01-29 13:36:14,akun retas
1,2026-01-29 13:33:56,bikin akun eh login discordnya pake link gitu
5,2026-01-29 13:03:20,enak pakai
1,2026-01-29 13:01:51,macet
4,2026-01-29 12:13:13,tambahin bahasa indonesia orang indonesia pakai orang indonesia bahasa negeri
5,2026-01-29 12:06:30,chatting teman
1,2026-01-29 10:49:19,login aj susah bngt
5,2026-01-29 08:56:06,platform komunikasi populer kalang gamer komunitas mampu gabung obrol teks suara video ruang organisir
5,2026-01-29 08:10:20,kasih bahasa indonesia nya
5,2026-01-29 02:32:05,terimakasih berkat teman jarak gugup bicara
4,2026-01-29 01:38:52,apk nya bagus sayang nya bug kirim pesan sinyal bagus
5,2026-01-29 01:21:54,puas teman tolong benar bug login suruh selesai verif human selesai coba login verif human muncul kali kali login gagal chat orang temu server verif human its okay not problem geser foto nya selesai verif nya berat gambar nya
1,2026-01-28 16:28:38,susah login taiii
5,2026-01-28 16:09:46,bagus karna harris
1,2026-01-28 15:52:41,semenjak uptade dm orang muncul chaptcha gilir udh pencet ngebug aneh
4,2026-01-28 13:50:54,bagus fitur nya
4,2026-01-28 13:00:08,mabar youtuber
5,2026-01-28 10:29:00,bagus mudah moga depan bagus cepat daun
1,2026-01-28 09:51:54,login masuk server vc pdhal udh mskin e mail
1,2026-01-28 08:51:52,apk cacat udh kirim kode valid kesel gw dh x dc gw ilang anj
5,2026-01-28 06:51:31,join discordnya gm masuk recordnya
1,2026-01-28 05:50:03,bug nya males makenya
1,2026-01-27 23:45:35,link bagi developer game buka masuk dicord channel ofisial game ku hapus akibat channel halang buk link tuju
1,2026-01-27 23:45:21,login pakai akun ku
1,2026-01-27 16:14:08,nggak muncul layar hp
5,2026-01-27 13:53:39,seru wa udah
4,2026-01-27 13:41:24,seru server kadang bug sksksk tolong baik ya semangat
5,2026-01-27 13:21:16,bagus guna banget dapet info
1,2026-01-27 11:29:33,susah akun data data akun spam wait are you human kesal akuuuuuu
1,2026-01-27 10:34:07,sampah register susah banget
1,2026-01-27 07:29:53,nitro mahal voice suara bot lagu nya pecah pecah
5,2026-01-27 06:24:01,good bahasa indonesia
5,2026-01-27 05:36:10,fitur bagus
4,2026-01-27 02:50:12,w a sapp bagus ngobrol bareng chating
5,2026-01-26 19:24:03,baik
1,2026-01-26 15:24:28,akun retas retas akun orang mohon tangan serius rugi kasihan milik akun
3,2026-01-26 14:20:40,seringkali lag internet youtube main game lancar gilir pake ngelag
4,2026-01-26 13:41:06,weh lu udah bagus gin awas lu ikut roblox turun tuh rating
5,2026-01-26 12:51:16,bagus ya tolong ya developer kasih bahasa indonesia hp dekstop ya orang indonesia hehehe faham bahasa indonesia bahasa inggris bahasa faham
2,2026-01-26 11:07:27,chat kirim relog work tolong baik internet buruk
5,2026-01-26 11:03:53,ok
5,2026-01-26 09:40:02,manfaat
5,2026-01-26 07:54:13,tambah misi handphone handphone akses sesuai misi where winds meet arknight endfield akses handphone console laptop mudah misi
5,2026-01-26 06:24:07,suka yaudah
1,2026-01-26 02:18:44,hadeh kagak bet apk gw login akun eh salah mulu sandi udh direset trus masuk ulng sandi salah mulu capek etdah
3,2026-01-26 01:43:33,sulit loginnya bayar dpt hero tolong bukti bayar langgan bukti bayar dlm bayar bikin pusing itu mudah terimakasih
5,2026-01-25 16:45:44,join chat
1,2026-01-25 14:03:58,udh daftar trus login gabisa karna ulas nomer pw udh bener udh simpen pas login tetiba muncul tulis sistem pw slah trus ulang tetep slah nya knp yak nge bug kah emng akun bner
5,2026-01-25 11:10:57,oke sih lumayan server liatin orang orang antem
1,2026-01-25 05:58:00,gua benci suruh kasih nomor pas gua ngasih error
2,2026-01-25 02:31:46,kena ultra rare fault atas nya
5,2026-01-25 01:58:20,bagus
1,2026-01-24 16:36:42,nitro scam ngedit theme tolong developer bener nitro mahal woi cape gw beli usaha nabung orangtua scam ngedit profile theme nya rusak tolong yah lapor prabowo cape tau ngumpulin uang
4,2026-01-24 16:22:19,alami ganggu login terima notif orang kirim pesan pas lihat mohon baik terimakasih
3,2026-01-24 12:38:47,kode verifikasi masuk sms tolong baik
3,2026-01-24 12:10:00,tambahin story kayak story ig gitu bagus sih cuman status keti gitu doang
5,2026-01-24 07:46:08,kirim foto ngefreeze apa bintang baca
5,2026-01-24 03:16:08,bagus chat bicara
3,2026-01-23 21:00:36,notifikasi dihp pas nelfon muncul ngeselin banget paok
4,2026-01-23 20:22:30,suara voice chenel ter rekam screen records tolong atas solusi nya
1,2026-01-23 16:59:35,bug ui beranta
1,2026-01-23 13:44:34,burik bug nya
4,2026-01-23 13:01:37,ganggu kirim pesan teman terkadang pesan kirim relog tekirim tolong atas
5,2026-01-23 09:58:13,tolong baik login
5,2026-01-23 08:18:32,mantap
3,2026-01-23 07:14:58,apk bagus tolong tambah bahasa indonesia
5,2026-01-23 00:56:18,distribusi informasi atur bantu
5,2026-01-22 23:10:58,multifungsi
4,2026-01-22 19:42:08,barang barang nya talu mahal ka
1,2026-01-22 18:34:37,buka si admin gajeeee muluuuhh
1,2026-01-22 17:39:58,ras udah pakee imel nya ber fungsi
1,2026-01-22 16:09:29,hey dc gimana si akun ko gabisa login tuh email aktif password nya please gabisa gabisa gara gara akun salah password salah email location please tolong baik yaa gamau tuh cuman maaf ngasih ratingnya jelek sumpah kecewa banget ama
2,2026-01-22 14:25:28,hp buka for close bug buka
1,2026-01-22 13:15:08,leg voice lihat muka susah login
5,2026-01-22 12:52:02,bagus sih
5,2026-01-22 12:44:38,guna
5,2026-01-22 12:43:14,guna komunikasi lain mksih byk
5,2026-01-22 11:58:47,nya bagus guna banget manusia makhluk sosial ntah
3,2026-01-22 10:30:38,ok bagus sih login
5,2026-01-22 09:26:34,seru banget dapet temen mabar
1,2026-01-22 06:03:13,robot bikin kesal
1,2026-01-22 03:18:18,donglow bikin ngelek hp
1,2026-01-21 14:06:05,regis make email aktif bilang email valid pake nomor hp kode konfirmasi nya masuk rusak tolong baik
3,2026-01-21 13:36:28,gagal koneksi akun youtube sinyal bagus tpi gagal laku hasil tpi muncul gagal koneksi tolong developer baik salah bug
1,2026-01-21 08:30:37,gajelas login susah password pas masuk bilang salah pas akun sulit
5,2026-01-21 08:10:07,bagus main roblox tau info info nya
1,2026-01-21 04:45:11,eror gw isi sandi email bener salah salahin trus ribet perkara daftar akun doamg
5,2026-01-21 03:24:15,apknya bagus h verikasi anah drag tolong baik developer
5,2026-01-21 03:15:02,manfaat main game
1,2026-01-20 16:46:46,server down apk sih cuman chatan susah nya ampun
5,2026-01-20 15:04:40,teman
3,2026-01-20 14:53:17,apk bagus udh stiap update nya gada bahasa indonesia coba update skali tambahin bahasa indonesia min
5,2026-01-20 13:20:21,teman
4,2026-01-20 13:12:38,bagus ngobrol bareng yutuber orang seru beda umur
5,2026-01-20 08:29:14,makasih berkat rasa someone special beda provinsi rasa dekat kontak fisik sukses love you clara
5,2026-01-20 06:31:10,aplikaai bagus stabil
1,2026-01-20 05:43:44,gw main web mesti suruh sanding akun hbs tuh coba login susah
5,2026-01-20 00:51:08,manfaat bagi informasi
3,2026-01-19 23:53:55,tambah fitur lupa sandi la
1,2026-01-19 16:18:12,tolong kikir cuman ngirim vidio limit loh tugas niat nya kirim enak tau limit
1,2026-01-19 15:56:36,kena hack tolong benerin akun
5,2026-01-19 14:38:21,bantu terimakasih
2,2026-01-19 14:15:20,pilih bahasa indonesia yaa rada mumet gitu nerjemahin otak nya
1,2026-01-19 14:07:14,buruk gua login sandi salah sma mental benerin tuh jelek kaya gin diemin
1,2026-01-19 14:00:51,apa gw ganti no telpon kirim woi sms wa gw tungguin nih sampe brp jam gtw lupa bener nomor nya udh bener kirim sms wa
1,2026-01-19 10:32:15,link expired tolong
1,2026-01-19 09:45:45,skor telpon wehh
1,2026-01-19 09:09:37,login dah tu bintang ku
1,2026-01-19 09:02:51,tolong apk daftar akun pasu imail sandi gagal sandi imail coba akun pasu nomor hp gagal no wa tolong baik update butuh apk
5,2026-01-19 08:04:12,bagus
4,2026-01-18 23:23:44,bug pilih server select server tolong baik
5,2026-01-18 16:53:20,uh uh uh bagus
5,2026-01-18 14:02:35,kesini gara nyari group theotown jir slah maglumin ya coy
3,2026-01-18 12:59:46,wifi dengar suara teman bicara voice teman koneksi wifi stabil
5,2026-01-18 12:58:00,liat gm tau info cepat
1,2026-01-18 12:25:09,login susah bet asu
1,2026-01-18 09:29:34,bagus si login nya kek ta
1,2026-01-18 08:44:20,dapet cowo tipu cowo ganteng kau janji
5,2026-01-18 08:08:40,bagus ak call an
1,2026-01-18 03:15:06,pas login tiba tuh pdhl udh konfirmasi ya seribet gitu loginnya aneh deh sorry tolong baik depan
1,2026-01-17 23:11:08,pelit mb kirim file telegram gb batas jelek banget mb kirim file
5,2026-01-17 16:00:50,apk bagus he dongo baik tuh makasih login bentar bentar invalid bentar bentar invalid aneh bener niat sih nih benerin makan nih bintang baca pakai mata kayak orang buta cape bener login jam masuk masuk bener susuai screenshot salah bilang maaf spasi ku coba pikir gua coba kali jam coba banget ya
1,2026-01-17 14:41:57,login nomor telepon email sandi bodoh
1,2026-01-17 12:55:15,tolong baik suara play music jelek ubah pas make desktop browser bagus bagus suara
1,2026-01-17 11:44:27,penuh orang txic
5,2026-01-17 11:06:01,bagus ini woi heran deh ngasi bintang tu syukur apk berbayarr
1,2026-01-17 07:18:44,pas login gmail nya salah pas nggak ganti email nya salah sandi tolong developer baik sistem login nya
4,2026-01-17 07:11:13,lumayan tarik chat voice
4,2026-01-17 04:22:22,jarang make sih seru
5,2026-01-17 03:44:29,loginnya lumayan ribet pokok bom pencet tombol putih buka login
3,2026-01-17 02:56:50,lumayan
5,2026-01-17 00:47:56,mantap tau update game roblox
1,2026-01-16 14:05:45,eh anding log in kagak
1,2026-01-16 12:17:59,susah masuk nya bngt
5,2026-01-16 11:09:58,ngebantu banget komunikasi
2,2026-01-16 07:01:40,sih dah bagus kasih bintang login akun pasword nya dah tolong baik yah
1,2026-01-16 06:06:51,didownload udah ngelakuin kayak masukin password dll pas pencet tombol bikin langsung bikin apk stupiddd
4,2026-01-16 04:38:56,dapet teman
5,2026-01-16 01:44:16,apk bagus komunikasi
5,2026-01-16 01:26:48,suka bantu milik handphone spek rendah cocok main game pc handphone kasih bintang karna bantu
4,2026-01-16 00:19:24,gampang ngobrol teman
1,2026-01-15 16:40:22,bug nya su
1,2026-01-15 15:27:22,akun
3,2026-01-15 14:49:37,udh bagus tpi tpi ken kustomisasi tampil gratis gitu loh biar bosen hrus bayar langgan nitro chat hrus join nitro nih udh kayak apk kapitalis
1,2026-01-15 14:11:02,temenku lag dc suara ilang an mulu kanjutttttt manaa ngomong suara ilang ilang tolong baik sumimasenn
5,2026-01-15 01:24:58,cari teman
5,2026-01-14 16:52:34,bagus main bareng sepi kasih bintang
4,2026-01-14 14:19:03,tambah bahasa indonesia sempurna
5,2026-01-14 12:21:49,bagus iklan lancar nya luarrrr
1,2026-01-14 12:09:41,susah login
5,2026-01-14 03:52:20,bagus komunikasi
1,2026-01-13 09:44:06,apelikasinya bagus bangget bugg bangget suka fc bangget
5,2026-01-13 09:42:39,bagus cuan teman mabar
5,2026-01-13 08:57:13,manfaat
1,2026-01-12 14:01:34,ya allah dana hilang karna ngga sengaja langgan potong otomatis banget ngga beli bukti lengkap tolong kembali karna butuh tolong kerja nya ya bayar didik
5,2026-01-12 12:26:09,hai kenal nama apakabar akbar anjay bilang seru temu teman teman jelek hehe thanks
1,2026-01-12 11:22:08,bruhh lambat banget asli register aj ampe nunggu jam bruhh
5,2026-01-12 09:02:45,asli bagus apk
4,2026-01-12 08:07:35,bagus guna
3,2026-01-12 07:16:27,kasih bintang pakai bahasa indonesia
1,2026-01-11 13:32:19,bug cok knp gua chat
5,2026-01-11 13:26:01,bagus
1,2026-01-11 12:56:36,login ribet susah bug hapus kayak gin
3,2026-01-11 12:39:23,aduhh minn kirim link server bnyk orang gabisa chtan aku susah hapus download apk nya update berat astaga
1,2026-01-11 11:54:53,jelek loginin bikin akun hadeh perbaikin bug nya emosi bikin akun udh bikin geramnyoooooo akiuuuuuu
5,2026-01-11 10:55:04,nya bagus chatting ngirim voice role role nya laku fitur keren selain
5,2026-01-11 09:31:31,bagus tarik simple
3,2026-01-11 07:34:52,bagus nya ngobrol mas nya log in nya pake password akun nya akun google tolong kasi tau ya
3,2026-01-11 06:14:19,akun ku ku apainn pasword nya loginin aneh udah ganti pasword nya nya tpi pas pencet ganti ngestuck ngga ganti coba kode verifikasi nya muncul
1,2026-01-11 05:48:09,knp login ya pdahal email sandi ny udh bener tpi ko tolong dev benerin dongg
5,2026-01-11 02:26:57,seruu ngobrol temen dapet temen jugaa
5,2026-01-11 02:07:37,nyaman ngobrol btw tambahin fitur story ya
1,2026-01-11 01:10:17,masuk susah hadeh gimana sih tolong baik ubah
5,2026-01-10 22:38:09,bagus komunikasi
1,2026-01-10 17:52:53,salah mulu gmail
5,2026-01-10 16:19:52,nya bagus bagus orang nya
1,2026-01-10 16:01:44,suara putus ilang bilang dengar
1,2026-01-10 14:50:47,plisss update nonton film rilis bro nonton film rilis pacar gua soalnyaa
1,2026-01-10 12:10:02,aneh udh main nga muncul checkpoin
2,2026-01-10 09:30:43,bug update ngaruh
3,2026-01-10 09:26:22,bagus sih login tuh kayak i m not robot
2,2026-01-10 08:46:17,apk aneh
5,2026-01-10 04:42:32,bagus bgttt ketemu org negeri seru seru mksh
1,2026-01-10 03:38:31,ngebug chat nggak kirim chat nggak kirim
5,2026-01-09 23:48:36,mantab
5,2026-01-09 21:28:52,senang
1,2026-01-09 17:30:44,milik gambar profil ribet mb gambar pilih capek scroll cari gambar
2,2026-01-09 16:58:38,suka apk suka bug general
5,2026-01-09 15:25:37,sulit login pc login hp hilang
1,2026-01-09 15:22:24,udah bikin akun suruh bikin akun pas bikin akun masuk halang in human
4,2026-01-09 15:16:38,membanttu
1,2026-01-09 13:52:09,download susah banget loh kaya sulit salah aneh
5,2026-01-09 12:07:17,bantu
2,2026-01-09 11:32:01,notip mmg
2,2026-01-09 11:07:23,masuk salah server bug
1,2026-01-09 10:51:18,akun pas pakek nomor telpon kirim dh tunggu rusak kalok rusak hapus
2,2026-01-09 07:05:37,pasu tanggal lahir login tpi baik pls ya moga baik
5,2026-01-09 06:47:26,bagus manfaat
1,2026-01-09 04:49:13,sulit masuk verifikasi kelar tolak tolong ya perbaikin mlas makenya proses nya sulit
5,2026-01-09 04:19:17,seru temennya
1,2026-01-09 02:13:34,tolong benerin bug avatar decoration server udah nyoba ganti eror mulu nampilin dekorasi munculin dekorasi pilih
4,2026-01-08 21:21:05,guna setia apresiasi layan efisiensi privasi guna saran tambah fitur hapus pesan direct messages dm hapus manual praktis guna riwayat pesan fitur aspirasi guna harap saran timbang terima kasih
2,2026-01-08 15:23:48,masak masukin pasword bener bilang salah gw bingung
5,2026-01-08 10:45:18,simple
1,2026-01-08 01:54:57,login susah masuk
3,2026-01-07 21:28:41,login dc kunci mfa error sebelumya mohon baik
5,2026-01-07 15:39:07,segi fitur nyaman guna fitur histori chat bantu telusur cakap masuk tarik fitur video history momen sama video call simpan alam teman seru
1,2026-01-07 13:59:25,apk susah login udh bener
1,2026-01-07 13:38:43,susah log in cek pesan gmail
2,2026-01-07 12:47:07,bagus suruh verif gmail chatting server terima telat kode robot muak mohon baik
1,2026-01-07 12:06:10,nemu kode verifikasi mulu notif kacau ah
1,2026-01-07 10:29:06,gajelas nih apk verifikasi nomor email udah gitu tinggal tidur jam kirim kode nya apk busuk
5,2026-01-07 09:59:43,bagus suka malas ketik ketik bagus banget
1,2026-01-07 07:20:08,knp masuk disscord
1,2026-01-07 03:53:49,versi email nya ge
4,2026-01-06 16:39:36,tolong sistem safety nya optimal karna pasang safety apa kena hack wlaupun gapernah pencet link aneh aneh oh iya bkin biar bs status video hehe
5,2026-01-06 15:30:43,wow cari teman negrii
5,2026-01-06 14:59:40,bagus perfect good keren apik pokok baguuuuuuss bangeeet
1,2026-01-06 13:47:06,sakit benerin dah tu login salah mulu register salah mulu aneh
1,2026-01-06 13:13:51,super duper ngeselin login ribet banget
1,2026-01-06 12:57:22,nya ya sakit robot sesuai gambar sesuai salah gimana sih udah betulin
5,2026-01-06 09:22:41,bagus manfaat guna
1,2026-01-06 06:07:49,ketik cari teman ya sinyal bagus cache sih
1,2026-01-06 02:16:05,eror udh selesai robot ngulang trs situ udh pas ngulang lgi udh pas ngulang lgi gitu trs
3,2026-01-05 19:00:35,tolong atur bahasa bahasa indonesia supa erti bahasa inggris pakai bahasa indonesia mudah erti
1,2026-01-05 15:14:25,sulit masuk akun kirim kode otp sms tunggu masuk bikin sandi pasword ngebug
5,2026-01-05 15:00:40,bagus hibur
2,2026-01-05 12:19:42,erorr pas login gara email sandi invalid pake nomor hp
1,2026-01-05 08:48:20,login gagal
5,2026-01-05 05:03:21,seru
5,2026-01-04 17:29:21,lumayan bagus kadang nyebelin
1,2026-01-04 17:11:39,sbentar pending kirim chat pdhal inet lancar
1,2026-01-04 15:55:59,masuk akun verifikasi nya susah kek
5,2026-01-04 11:35:08,download foto masuk masuk jam
1,2026-01-04 09:19:59,udah bener email sandi nya udah bener login apk nya rusak
1,2026-01-04 06:31:48,udah kasih gmail no tlpon tetep g tru tolang tambah bahasa indonesia biaa bahasa inggris sulit login developer nya gimana sih
1,2026-01-04 03:56:58,rusak teman teman mabar roblox
1,2026-01-04 02:48:09,udah daftar pas tes udh hasil ulang ulang
1,2026-01-04 02:16:00,bagus cumak setipa bikin akun udah kasih notelepon alamat iml bisah
5,2026-01-04 01:33:23,daftar masuk lapang kerja konoha
1,2026-01-04 00:55:46,lol login verrivikasi robot nya masuk apk lol
5,2026-01-04 00:41:49,bagus informasi bagus
5,2026-01-03 23:14:30,suka bener ngejokes ajak main super bear adventure gift server seru banget
1,2026-01-03 22:49:27,nggak simpan foto
2,2026-01-03 20:52:20,kocak gw login password nya dah bener
5,2026-01-03 20:42:23,bagus ketemu teman rumah jirt suka interaksi online langsung temu
5,2026-01-03 19:11:40,mantap cocok butuh hari info info game vc alam main teman seru bagi informasi
5,2026-01-03 18:33:38,hibur
2,2026-01-03 16:53:46,susah loginnya
1,2026-01-03 16:11:23,gajelas banget voice suara orang udah sampe reset akun pas login sulit pake alesan
5,2026-01-03 14:50:38,mantap love you dev
4,2026-01-03 08:30:23,bagus sih moga update tambahin bahasa indonesia nya auto kasih rate bintang
2,2026-01-03 08:02:55,bolehin log in udh correct passwordnya
1,2026-01-03 07:45:00,nge chat orang are you human
5,2026-01-03 06:23:54,ny bagus minusny kadang suka kek ubah gitu baik y
1,2026-01-03 02:11:31,kga masuk
1,2026-01-03 00:00:22,malas masuk udah bikin password ama email
2,2026-01-02 22:58:19,buka upgrade
3,2026-01-02 18:38:38,tools ajar sederhana sreg tampil nya
5,2026-01-02 16:25:01,tolong benarin micnya
1,2026-01-02 11:43:57,busuk ni banyak login email bla bla lo ya mua dah
3,2026-01-02 11:34:21,bug keluh dipeebaikj
1,2026-01-02 07:42:51,bikin aqun login knpa gin
2,2026-01-02 03:07:08,kadang kadang susah buka sih
5,2026-01-02 01:38:39,dc kek anj update kangguru
5,2026-01-02 01:25:35,bagus komunikasi sosial
1,2026-01-01 13:52:22,update mulu ubah bintang untuk
3,2026-01-01 12:51:24,udh bagus bikin kesel captcha loop nya
5,2026-01-01 10:51:37,terimakasih dc temu thanks you so much moga apk jd bnyk kenal
1,2026-01-01 10:30:57,admin selesai quest point orbs nya pas jalanin nyelesain misi nya mulu kasih tau
5,2026-01-01 10:01:58,apk menbantu trade fisch
1,2026-01-01 09:27:43,gw kasih bintang karna notifikasi
5,2026-01-01 07:25:30,senang bicara teman
5,2026-01-01 04:45:59,bagus iklan login cepat
1,2025-12-31 18:03:33,aneh pelit huu
3,2025-12-31 16:43:17,aelah bug mic mulu heran gajelas banget
3,2025-12-31 16:22:12,apk nya ngeragebait mulu login pake nomor tel bilang nya gabisa cari pake gmail bilang nya dah registered bikin akun gitu pas masukin kode verifikasi kirim
1,2025-12-31 16:04:46,guna thx
1,2025-12-31 15:24:34,mohon developer hilang previkasi nya sulit previkasi gagal
3,2025-12-31 14:58:19,ya login gabisa pas coba kali kali tetep gabisa akun tetep gabisa tolong baik main sma temen virtual mohon
1,2025-12-31 14:49:10,pas udh login suruh verify by phone pas masukin nomor hpnya
1,2025-12-31 14:48:07,ribet loginnya verify by phone
1,2025-12-31 14:11:36,login nya sulit suruh liat email pas klik link nya bilang detik pas bikin akun make no wa kode nya kasih moga sulit login rezeki nya potong mati cepet
5,2025-12-31 11:26:13,alas guna main teman
4,2025-12-31 10:03:05,main bagus masuk iklan kasih bintang deh obrol youtuber kenal kek kasih nilai iklan
5,2025-12-31 09:05:00,bintang
5,2025-12-31 08:15:29,apk teman main
5,2025-12-31 00:41:43,bagus banget
5,2025-12-31 00:22:54,bantu
3,2025-12-30 23:50:39,say login karwna bksan menguninstal apk mendownload apk pake akun
1,2025-12-30 18:20:36,bug login normal akun google kecewa
1,2025-12-30 16:48:02,sampah ngobrol chanel kamera buka minim privasi sampahhh
5,2025-12-30 12:52:30,bagus banget
1,2025-12-30 11:10:35,nya login fix sih kasih email crash
5,2025-12-30 10:56:33,bagus ngobrol curhat main game kenal gara covid rumah ya main game pandemi kenang kenal teman daerah ya tingkat aman privasi hukum adil terimakasih
1,2025-12-30 08:44:45,bikin fitur robot gaguna bug nya jdi gabisa login
1,2025-12-30 07:58:05,jelek ganti password mulu gabisa jelek terjemah pokok ya bahasa indonesia ya log ut ganti password masuk
1,2025-12-30 07:55:05,login afk baik
1,2025-12-30 06:23:46,ribet
1,2025-12-30 05:21:09,uang saldo hilang ambil langgan sistem langgan tahu konfirmasi bayar langgan tuju sistem komputer waktu tahu saran orang guna transaksi bayar langgan pasti klik nonaktif langgan monthly setel konfirmasi tahu uang ambil
1,2025-12-30 05:14:35,kyak ya gw coba login salah pasword apa salah coba poko gw ceklis buruk
1,2025-12-30 05:13:36,wktu login mlh ngulang lgi tampil pas nyoba register mlh unabled hadehh tlong fix bugnya ngeresahin bngt
5,2025-12-30 01:06:35,bintang can you fix the bug when verifying the number i m so frustrated because it always says invalid phone number or just remove the number verification i want my account back edited ubah bintang masuk akun neng banget masuk web pc
5,2025-12-30 00:40:54,enak banget ny
4,2025-12-29 16:21:58,tolong tambah multi translate
4,2025-12-29 16:05:35,apk nya baguss pass login slalu ad iklan mohon henti iklan yaa developer aj ku trimakasih
2,2025-12-29 15:17:35,woiiii suara mic mobile suka ad suara nya tolong baik
1,2025-12-29 13:17:23,karna login ngebag chat nya saruk saruk
5,2025-12-29 11:53:41,apk nya bagus free harga premium nya murah bantu afk roblok
1,2025-12-29 11:22:34,email udah sandi udah gabisa masuk
3,2025-12-29 10:00:18,gmna ya chat komunitas suruh verifikasi email pas udh verifikasi email pemberitahuan nya udh masuk gmail pas coba nge chat komunitas nya ttep gabisa verifikasi ngebuat bingung banget ngerti gimanain karna udh coba ttep gabisa chat komunitas tolong gimna
5,2025-12-29 06:10:58,mantap
5,2025-12-29 04:52:26,enak banget pake
1,2025-12-29 02:02:48,developer in apk byk pakai orang mudah log in sy verifikasi akun registrasi ulang masuk apkh in bug salah sistem sy lebih maaf
1,2025-12-29 00:15:49,add indonesian language
1,2025-12-28 13:23:46,pas pake voice chat ngelag parah
5,2025-12-28 12:24:24,fitur bagus bagus mabar main game guna cari informasi
5,2025-12-28 12:22:33,bagus komunikasi orang teman
3,2025-12-28 11:20:37,g daftar
2,2025-12-28 10:22:09,mohon maaf developer bintang alasanya email login verivikasi halaman email
4,2025-12-28 09:22:01,bagus tolong kikir rangin dikit kirim file ukur gede bayar yaampun emoji macem bayar
1,2025-12-28 05:38:26,ken registrasi mental mulu knapa dh
1,2025-12-28 03:15:59,woi gw bikin akun jam jam stuck verivikasi robot
2,2025-12-28 01:02:43,halo developer milik ganti foto profil tolong develover baik
1,2025-12-27 19:05:49,tolong sulit lupa pasword
5,2025-12-27 16:25:53,introvert cocok orang introvert
5,2025-12-27 15:46:10,bagus membernya toxic
4,2025-12-27 09:47:45,gw kasih bintang pas resend verification email sempet ngebug overall dah bagus
5,2025-12-27 09:45:35,apk ny bgs ngobrol komunitas pas login ny soalny disruh masuk email nmr tlpon tpi mas slh
1,2025-12-27 09:05:09,apk update tpi jdi bug follow channel ganti profil pulih akun login akun ngasih nomor tpi kode otp masuk baik tolong
1,2025-12-27 08:57:54,fitur log in nya ribet ya gua kasi gin
5,2025-12-27 05:59:30,bagus banget ketemu orang orang negeri ngechat telpon kasang kadang telpon ngelag error denger orang server join server kirim video susah karna bawah menit pake nitro ngirim tiktok youtube makasihh
1,2025-12-27 05:49:25,
5,2025-12-27 04:39:35,mantabb
2,2025-12-27 04:01:30,share screen mic
1,2025-12-27 00:52:10,verifikasi nya ilangin verifikasi bikin akun gw gagal
1,2025-12-26 18:27:20,prosedur kayak ngejek hp orang aneh butuh ferifikasi makek imeyl makek nomor sms dah kayak bobol sekuriti akun orang ajing aneh
1,2025-12-26 14:22:17,apa register email lalau akun
5,2025-12-26 13:00:10,dpt org bicara jdi
1,2025-12-26 11:22:32,kurang kendala
1,2025-12-26 07:59:06,sulit login
5,2025-12-26 07:51:39,fungsi komunikasi
5,2025-12-26 07:15:42,pasang profil suka mental
1,2025-12-26 04:17:47,guna daftar sampah
5,2025-12-26 04:17:33,bagus udah mantep
5,2025-12-26 02:13:49,sumpah ribet banget dah login trs kek dora gw tuh manusia robot hewan njink tanya buang buang aj login gw kasi bintang biar lu lihat susah login dc
1,2025-12-26 00:33:00,suruh resend email mulu udah kali kali verifikasi tetep kira buka resend email terus
1,2025-12-25 19:50:44,susah masuk nya udah bner usn fw nya ttep masuk
1,2025-12-25 14:54:15,biaa login
5,2025-12-25 13:57:02,apk rusak system nya tolol gabisa login akun ku tuan akun sengaja beri bintang biar lihat setlol systemnya
1,2025-12-25 12:56:51,register buka login
1,2025-12-25 12:03:16,jelek banget rekomen chat verifikasi no hp udah ngirim nomor bener respon kode invalid nomor the resource is being rate limited males banget
5,2025-12-25 12:01:48,bagus sih dapet info
1,2025-12-25 10:08:16,gilir isi maksa nomer telpon gilir isi emg gin sih
2,2025-12-25 09:36:08,nya bagus komunitas lebih kurang kesel login akun utama tulis login password not valid mohon explanation nya ya developer login akun kali kali ganti sandi atas akun alami tolong developer atas
3,2025-12-25 08:47:00,login ulang sertifikasi akun kesal no rekomendasi
1,2025-12-25 07:55:53,login udah ku kasih no tlp email mas lot
1,2025-12-25 06:30:22,bagus tpi udh masukin no email nya knp login suruh versivikasi udh
1,2025-12-25 06:12:18,ribet banget pake email tinggal akun udh selesai harus nya gitu gausah pake email nya aman pake email ribet bintang gua cocok
5,2025-12-25 04:04:14,yesss main
3,2025-12-25 03:27:56,bagus bagus pas nge dm chat teman verif email verifikasi udh kaya sent verify email gt cek gmail tp ad addres nya mohon baik karna jg jd pas ngechat temen karna sngt tp hrs verify email dl pdhl udhh
1,2025-12-25 02:34:13,meng klik apa dana potong tolong segara refund meng klik apa
2,2025-12-24 23:48:00,pakek nya gimana bjir ngerti gue
5,2025-12-24 23:11:48,ak sukaa bttt bisaa ketemu org org luarr komunikasi whatsapp
5,2025-12-24 15:48:58,bantu
2,2025-12-24 15:22:43,bener orang bagus bagus sih orang sih
1,2025-12-24 14:06:26,apk jelek bikin akun bet alas nya email udah pake orang la la pas pake no tlpon login coba apk rusak pantes banyak orang kasih bintang apk tolo
3,2025-12-24 08:38:31,tolong adakan bahasa indonesia tolong buat bahasa indonesia
4,2025-12-24 07:21:45,lumayan bingung nya join servernya
